epoch,plain,warmup
534,0.846186,0.874204
535,0.844137,0.869390
536,0.850387,0.868702
537,0.851007,0.868321
538,0.846056,0.871972
539,0.847574,0.863495
540,0.849158,0.863295
541,0.853588,0.868091
542,0.859090,0.871444
543,0.856877,0.869977
544,0.854648,0.863775
545,0.856992,0.866846
546,0.841182,0.860996
547,0.838638,0.860053
548,0.847914,0.857684
549,0.852747,0.853567
550,0.853470,0.856452
551,0.856818,0.855237
552,0.856727,0.856498
553,0.859368,0.860160
554,0.857483,0.863962
555,0.861222,0.858662
556,0.863291,0.861155
557,0.863699,0.860738
558,0.857987,0.864577
559,0.858592,0.870093
560,0.863734,0.875066
561,0.860473,0.875110
562,0.867547,0.874876
563,0.868258,0.869073
564,0.865174,0.865117
565,0.867013,0.861632
566,0.869338,0.854629
567,0.868425,0.861175
568,0.868821,0.863323
569,0.871799,0.863055
570,0.850024,0.843539
571,0.848968,0.850481
572,0.831056,0.854148
573,0.838614,0.856001
574,0.842391,0.859752
575,0.844668,0.864102
576,0.850815,0.863627
577,0.845908,0.862483
578,0.853215,0.861186
579,0.858074,0.856628
580,0.863869,0.852476
581,0.868088,0.853297
582,0.861376,0.852380
583,0.868805,0.852868
584,0.867358,0.855409
585,0.853995,0.856570
586,0.852221,0.850053
587,0.850178,0.850321
588,0.846432,0.853937
589,0.852710,0.852702
590,0.845148,0.848992
591,0.853712,0.850156
592,0.858824,0.850042
593,0.866773,0.851672
594,0.850133,0.850546
595,0.852230,0.854165
596,0.845407,0.856412
597,0.846695,0.857935
598,0.851303,0.860311
599,0.851273,0.851519
600,0.853229,0.858560
601,0.859952,0.856316
602,0.855980,0.852127
603,0.853956,0.851533
604,0.860220,0.847763
605,0.864829,0.855492
606,0.868941,0.850112
607,0.868951,0.843898
608,0.870523,0.846950
609,0.869307,0.848224
610,0.869157,0.850203
611,0.874930,0.846577
612,0.879892,0.841901
613,0.871578,0.846526
614,0.862860,0.850025
615,0.849793,0.855527
616,0.849686,0.852977
617,0.853237,0.858170
618,0.855806,0.859140
619,0.861618,0.858801
620,0.865154,0.862499
621,0.863969,0.866915
622,0.857192,0.862968
623,0.856022,0.868771
624,0.856318,0.861840
625,0.862704,0.864035
626,0.857767,0.867377
627,0.861080,0.870112
628,0.859689,0.875410
629,0.853545,0.859217
630,0.860045,0.860591
631,0.864885,0.867008
632,0.867965,0.869661
633,0.870825,0.866410
634,0.855922,0.860829
635,0.861087,0.856418
636,0.867144,0.858300
637,0.870624,0.861922
638,0.867457,0.861561
639,0.865813,0.860007
640,0.871454,0.844955
641,0.871711,0.845641
642,0.867506,0.849489
643,0.867538,0.850005
644,0.870848,0.852709
645,0.863036,0.851851
646,0.858083,0.856224
647,0.853563,0.864886
648,0.853013,0.859696
649,0.860431,0.852511
650,0.860172,0.857578
651,0.865249,0.854580
652,0.856889,0.862053
653,0.856044,0.857419
654,0.845833,0.859953
655,0.847243,0.864361
656,0.851417,0.866199
657,0.848904,0.871433
658,0.850433,0.865196
659,0.852436,0.869920
660,0.858393,0.855278
661,0.856801,0.861834
662,0.859050,0.867224
663,0.860964,0.864326
664,0.858163,0.864321
665,0.856819,0.868118
666,0.854497,0.870341
667,0.853050,0.871944
668,0.853759,0.867518
669,0.853360,0.874455
670,0.842340,0.865990
671,0.843209,0.865065
672,0.848782,0.864642
673,0.850295,0.861473
674,0.852604,0.852394
675,0.859069,0.845539
676,0.864558,0.847123
